Slide Lot,Intensity,RPMI,Cell Line,Conjugate,Configuration
1907800,82,No,1830907,2122300,14
1907800,78,No,1830907,2122300,14
1907800,80,No,1830907,2122300,14
1907800,76,No,1830907,2122300,14
1907800,81,No,1830907,2122300,14
1907800,68,No,1830907,2122300,14
1907800,65,No,1830907,2122300,14
1907800,82,No,1830907,2122300,14
1907800,75,No,1830907,2122300,14
1907800,80,No,1830907,2122300,14
1907800,84,No,1830907,2122300,14
1907800,82,No,1830907,2122300,14
1907800,73,No,1830907,2122300,14
1907800,81,No,1830907,2122300,14
1907800,98,No,1830907,2122300,14
1907800,84,No,1830907,2122300,14
1907800,79,No,1830907,2122300,14
1907800,79,No,1830907,2122300,14
1907800,63,No,1830907,2122300,14
1907800,68,No,1830907,2122300,14
1907800,90,No,1830907,2122300,14
1907800,88,No,1830907,2122300,14
1907800,91,No,1830907,2122300,14
1907800,94,No,1830907,2122300,14
1907800,87,No,1830907,2122300,14
1907800,88,No,1830907,2122300,14
1926700,75,No,1922416,2122300,14
1926700,64,No,1922416,2122300,14
1926700,63,No,1922416,2122300,14
1926700,70,No,1922416,2122300,14
1926700,74,No,1922416,2122300,14
1926700,62,No,1922416,2122300,14
1926700,62,No,1922416,2122300,14
1926700,80,No,1922416,2122300,14
1926700,75,No,1922416,2122300,14
1926700,84,No,1922416,2122300,14
1926700,82,No,1922416,2122300,14
1926700,90,No,1922416,2122300,14
1926700,77,No,1922416,2122300,14
1926700,92,No,1922416,2122300,14
1926700,95,No,1922416,2122300,14
1926700,99,No,1922416,2122300,14
1926700,102,No,1922416,2122300,14
1926700,109,No,1922416,2122300,14
1926700,103,No,1922416,2122300,14
1926700,65,No,1922416,2122300,14
1926700,96,No,1922416,2122300,14
1926700,109,No,1922416,2122300,14
1926700,92,No,1922416,2122300,14
1926700,96,No,1922416,2122300,14
1926700,97,No,1922416,2122300,14
1926700,110,No,1922416,2122300,14
2014700,93,No,2006203,2122300,14
2014700,83,No,2006203,2122300,14
2014700,81,No,2006203,2122300,14
2014700,69,No,2006203,2122300,14
2014700,91,No,2006203,2122300,14
2014700,80,No,2006203,2122300,14
2014700,73,No,2006203,2122300,14
2014700,77,No,2006203,2122300,14
2014700,69,No,2006203,2122300,14
2014700,74,No,2006203,2122300,14
2014700,74,No,2006203,2122300,14
2014700,80,No,2006203,2122300,14
2014700,84,No,2006203,2122300,14
2014700,81,No,2006203,2122300,14
2014700,86,No,2006203,2122300,14
2014700,87,No,2006203,2122300,14
2014700,84,No,2006203,2122300,14
2014700,60,No,2006203,2122300,14
2014700,77,No,2006203,2122300,14
2014700,92,No,2006203,2122300,14
2014700,94,No,2006203,2122300,14
2014700,88,No,2006203,2122300,14
2014700,83,No,2006203,2122300,14
2014700,87,No,2006203,2122300,14
2014700,86,No,2006203,2122300,14
2021700,80,No,2016916,2122300,14
2021700,87,No,2016916,2122300,14
2021700,85,No,2016916,2122300,14
2021700,93,No,2016916,2122300,14
2021700,95,No,2016916,2122300,14
2021700,89,No,2016916,2122300,14
2021700,71,No,2016916,2122300,14
2021700,94,No,2016916,2122300,14
